id_serie,name,kind,date
1,serie0,Fantasy,2001-03-09
2,serie1,Adventure,1991-04-13
3,serie2,Fantasy,1996-12-16
4,serie3,Fantasy,2007-05-04
5,serie4,Fantasy,2015-05-12
6,serie5,Action,2002-07-19
7,serie6,Drama,2005-12-27
8,serie7,Historical,2001-10-14
9,serie8,Fantasy,2013-05-15
10,serie9,Historical,1991-07-02
11,serie10,Action,2010-11-30
12,serie11,Drama,2010-06-18
13,serie12,Crime,1993-10-03
14,serie13,Historical,2000-12-20
15,serie14,Horror,2011-03-05
16,serie15,Historical,2005-12-10
17,serie16,Drama,2009-11-19
18,serie17,Drama,2000-11-12
19,serie18,Historical,1993-05-03
20,serie19,Fantasy,2015-09-01
21,serie20,Comedy,2005-09-13
22,serie21,Action,2007-07-13
23,serie22,Crime,2013-04-08
24,serie23,Horror,2015-02-06
25,serie24,Drama,1996-04-16
26,serie25,Comedy,2015-11-19
27,serie26,Action,2001-06-20
28,serie27,Fantasy,1997-07-17
29,serie28,Adventure,1997-05-18
30,serie29,Horror,1995-08-06
31,serie30,Drama,2004-05-14
32,serie31,Historical,1990-11-23
33,serie32,Fantasy,2008-08-02
34,serie33,Drama,2011-04-02
35,serie34,Drama,2010-08-20
36,serie35,Action,2006-01-02
37,serie36,Historical,2010-10-27
38,serie37,Action,1993-03-28
39,serie38,Comedy,1999-03-17
40,serie39,Action,2014-07-30
41,serie40,Crime,2000-03-05
42,serie41,Horror,1991-01-29
43,serie42,Drama,2002-05-02
44,serie43,Historical,1991-04-16
45,serie44,Crime,1998-01-28
46,serie45,Adventure,1994-07-30
47,serie46,Crime,2016-02-07
48,serie47,Horror,2010-06-14
49,serie48,Historical,2004-04-19
50,serie49,Comedy,1999-09-30
51,serie50,Horror,2005-10-05
52,serie51,Adventure,1994-08-29
53,serie52,Crime,2009-09-22
54,serie53,Fantasy,2010-06-24
55,serie54,Historical,1990-12-09
56,serie55,Comedy,2013-06-25
57,serie56,Fantasy,1997-04-22
58,serie57,Fantasy,1996-04-29
59,serie58,Horror,1991-03-08
60,serie59,Horror,2000-12-22
61,serie60,Action,2005-12-25
62,serie61,Adventure,2000-02-20
63,serie62,Comedy,1990-06-11
64,serie63,Action,2012-04-28
65,serie64,Crime,2000-07-12
66,serie65,Comedy,1993-02-06
67,serie66,Fantasy,1996-03-22
68,serie67,Historical,2006-03-27
69,serie68,Comedy,2010-10-15
70,serie69,Crime,2014-08-16
71,serie70,Fantasy,2005-08-01
72,serie71,Crime,2008-03-11
73,serie72,Horror,2005-09-11
74,serie73,Adventure,1990-04-17
75,serie74,Drama,2015-04-27
76,serie75,Drama,2005-07-08
77,serie76,Fantasy,2000-02-02
78,serie77,Adventure,2004-08-23
79,serie78,Crime,2013-10-23
80,serie79,Comedy,1992-08-26
81,serie80,Action,2015-01-12
82,serie81,Comedy,2010-01-13
83,serie82,Adventure,2016-06-24
84,serie83,Horror,2007-02-03
85,serie84,Crime,1998-09-24
86,serie85,Fantasy,2009-05-08
87,serie86,Horror,1995-09-23
88,serie87,Historical,2008-05-29
89,serie88,Crime,1999-12-10
90,serie89,Action,1997-01-31
91,serie90,Comedy,2006-07-12
92,serie91,Comedy,2000-11-02
93,serie92,Adventure,2005-01-26
94,serie93,Horror,1999-03-14
95,serie94,Action,2012-11-12
96,serie95,Action,2013-10-13
97,serie96,Drama,2002-08-17
98,serie97,Comedy,1995-08-18
99,serie98,Action,1994-03-20
100,serie99,Action,2015-11-14
101,serie100,Comedy,2011-04-11
102,serie101,Drama,2004-06-05
103,serie102,Crime,1996-12-04
104,serie103,Horror,1992-09-13
105,serie104,Action,2014-08-16
106,serie105,Fantasy,2007-11-15
107,serie106,Drama,1995-10-09
108,serie107,Crime,2006-10-04
109,serie108,Comedy,2004-08-30
110,serie109,Comedy,2001-03-06
111,serie110,Historical,1996-08-12
112,serie111,Fantasy,2002-05-09
113,serie112,Historical,2003-04-28
114,serie113,Crime,1997-01-08
115,serie114,Drama,2002-01-23
116,serie115,Action,1996-05-01
117,serie116,Drama,2012-04-26
118,serie117,Action,1990-02-12
119,serie118,Comedy,2003-03-21
120,serie119,Crime,2004-10-30
121,serie120,Adventure,2008-09-05
122,serie121,Comedy,2008-01-11
123,serie122,Historical,2013-06-26
124,serie123,Adventure,2013-09-08
125,serie124,Drama,1996-07-17
126,serie125,Action,2010-10-10
127,serie126,Crime,2011-03-28
128,serie127,Horror,1991-11-29
129,serie128,Drama,2008-04-29
130,serie129,Drama,1992-08-03
131,serie130,Crime,2007-02-12
132,serie131,Adventure,2016-08-23
133,serie132,Horror,1999-08-05
134,serie133,Crime,1994-05-28
